date,total_trades,total_pnl,win_trades,loss_trades,avg_leverage,max_leverage,avg_size,unique_symbols,win_rate,profitable_day
2024-09-11,86,102.90894,19,67,,,,,0.22093023255813954,1
2024-09-12,539,6310.967676,172,367,,,,,0.31910946196660483,1
2024-09-14,11,0.0,0,11,,,,,0.0,0
2024-09-18,145,-878.684794,0,145,,,,,0.0,0
2024-09-19,19,0.0,0,19,,,,,0.0,0
2024-09-20,16,9585.03428,8,8,,,,,0.5,1
2024-09-21,23,36165.56933,23,0,,,,,1.0,1
2024-09-22,3,0.0,0,3,,,,,0.0,0
2024-09-23,2,334.760796,1,1,,,,,0.5,1
2024-09-24,10,0.0,0,10,,,,,0.0,0
2024-09-25,9,0.0,0,9,,,,,0.0,0
2024-09-26,8,439.812513,2,6,,,,,0.25,1
2024-09-27,56,0.0,0,56,,,,,0.0,0
2024-09-28,4,0.0,0,4,,,,,0.0,0
2024-09-30,106,2710.626288,5,101,,,,,0.04716981132075472,1
2024-10-01,193,-1517.091342,41,152,,,,,0.21243523316062177,0
2024-10-03,42,2482.9272,29,13,,,,,0.6904761904761905,1
2024-10-04,41,5207.443414,36,5,,,,,0.8780487804878049,1
2024-10-05,22,2101.741695,6,16,,,,,0.2727272727272727,1
2024-10-06,53,31.266804999999998,18,35,,,,,0.33962264150943394,1
2024-10-07,56,11977.734907,38,18,,,,,0.6785714285714286,1
2024-10-08,88,0.0,0,88,,,,,0.0,0
2024-10-09,3,-219.729659,0,3,,,,,0.0,0
2024-10-10,16,0.0,0,16,,,,,0.0,0
2024-10-11,173,991.114334,51,122,,,,,0.2947976878612717,1
2024-10-12,1596,39325.770231,937,659,,,,,0.5870927318295739,1
2024-10-13,10,0.0,0,10,,,,,0.0,0
2024-10-14,5,1913.61958,5,0,,,,,1.0,1
2024-10-15,7,1170.2260760000001,4,3,,,,,0.5714285714285714,1
2024-10-16,11,219.480876,3,8,,,,,0.2727272727272727,1
2024-10-17,9,36.11496,1,8,,,,,0.1111111111111111,1
2024-10-18,6,333.219141,5,1,,,,,0.8333333333333334,1
2024-10-19,4,0.0,0,4,,,,,0.0,0
2024-10-20,96,389.155797,11,85,,,,,0.11458333333333333,1
2024-10-21,173,2464.915564,68,105,,,,,0.3930635838150289,1
2024-10-22,3,0.0,0,3,,,,,0.0,0
2024-10-23,18,-46.489941,0,18,,,,,0.0,0
2024-10-25,30,13235.862071,21,9,,,,,0.7,1
2024-10-26,6,42471.99413,6,0,,,,,1.0,1
2024-10-27,4,666.6623079999999,3,1,,,,,0.75,1
2024-10-28,13,167.28016200000002,4,9,,,,,0.3076923076923077,1
2024-10-29,53,801.170876,3,50,,,,,0.05660377358490566,1
2024-10-30,25,9.150023,7,18,,,,,0.28,1
2024-10-31,48,1214.043811,34,14,,,,,0.7083333333333334,1
2024-11-01,21,-164.08950099999998,5,16,,,,,0.23809523809523808,0
2024-11-02,34,983.443176,7,27,,,,,0.20588235294117646,1
2024-11-03,42,3588.179495,39,3,,,,,0.9285714285714286,1
2024-11-04,16,389.743164,2,14,,,,,0.125,1
2024-11-05,9,251.604742,9,0,,,,,1.0,1
2024-11-06,123,4320.631811,17,106,,,,,0.13821138211382114,1
2024-11-07,19,1876.812082,9,10,,,,,0.47368421052631576,1
2024-11-08,24,847.7766200000001,4,20,,,,,0.16666666666666666,1
2024-11-09,1,0.0,0,1,,,,,0.0,0
2024-11-10,26,8885.327477,18,8,,,,,0.6923076923076923,1
2024-11-11,373,6749.630996,92,281,,,,,0.24664879356568364,1
2024-11-12,1221,319051.554217,870,351,,,,,0.7125307125307125,1
2024-11-13,48,7846.402274,27,21,,,,,0.5625,1
2024-11-14,110,4563.509225,28,82,,,,,0.2545454545454545,1
2024-11-15,149,4140.740438,55,94,,,,,0.3691275167785235,1
2024-11-16,157,2769.521909,48,109,,,,,0.3057324840764331,1
2024-11-17,209,882.975285,49,160,,,,,0.23444976076555024,1
2024-11-18,346,4470.815187,124,222,,,,,0.3583815028901734,1
2024-11-19,305,2958.268991,150,155,,,,,0.4918032786885246,1
2024-11-20,550,4210.0928969999995,219,331,,,,,0.3981818181818182,1
2024-11-21,535,1692.430891,165,370,,,,,0.308411214953271,1
2024-11-22,679,-18105.345617,209,470,,,,,0.3078055964653903,0
2024-11-23,363,2901.531638,128,235,,,,,0.3526170798898072,1
2024-11-24,172,945.550386,46,126,,,,,0.26744186046511625,1
2024-11-25,255,5523.740734,105,150,,,,,0.4117647058823529,1
2024-11-26,302,1094.809359,88,214,,,,,0.2913907284768212,1
2024-11-27,213,-2654.495633,74,139,,,,,0.3474178403755869,0
2024-11-28,332,-127075.39958499999,109,223,,,,,0.32831325301204817,0
2024-11-29,393,176844.994152,192,201,,,,,0.48854961832061067,1
2024-11-30,373,37316.69352,157,216,,,,,0.42091152815013405,1
2024-12-01,7,-1925.519024,0,7,,,,,0.0,0
2024-12-02,16,913.8817869999998,6,10,,,,,0.375,1
2024-12-03,8,3039.166,7,1,,,,,0.875,1
2024-12-04,129,-592.6458390000001,71,58,,,,,0.5503875968992248,0
2024-12-05,23,0.0,0,23,,,,,0.0,0
2024-12-06,254,-21886.531493,21,233,,,,,0.08267716535433071,0
2024-12-07,19,1412.314654,9,10,,,,,0.47368421052631576,1
2024-12-08,48,858.6705000000001,6,42,,,,,0.125,1
2024-12-10,10,541.55471,7,3,,,,,0.7,1
2024-12-11,171,3494.399394,34,137,,,,,0.19883040935672514,1
2024-12-12,1932,599151.795008,1352,580,,,,,0.6997929606625258,1
2024-12-13,1173,31935.901745,471,702,,,,,0.40153452685422,1
2024-12-14,1235,167801.399244,585,650,,,,,0.47368421052631576,1
2024-12-15,1697,97525.315279,417,1280,,,,,0.24572775486152032,1
2024-12-16,1055,166774.344133,535,520,,,,,0.5071090047393365,1
2024-12-17,1941,219591.305172,847,1094,,,,,0.4363730036063885,1
2024-12-18,1429,13682.994673,523,906,,,,,0.36599020293911827,1
2024-12-19,3339,62744.004486000005,2053,1286,,,,,0.6148547469302186,1
2024-12-20,2488,254969.660039,1383,1105,,,,,0.5558681672025724,1
2024-12-21,1681,150022.163157,924,757,,,,,0.5496728138013087,1
2024-12-22,774,352197.163973,337,437,,,,,0.4354005167958656,1
2024-12-23,2347,-29430.626577,681,1666,,,,,0.2901576480613549,0
2024-12-24,338,14813.780116,114,224,,,,,0.33727810650887574,1
2024-12-25,208,756.6570469999998,63,145,,,,,0.30288461538461536,1
2024-12-26,697,60228.639722,358,339,,,,,0.5136298421807748,1
2024-12-27,260,2672.811035,110,150,,,,,0.4230769230769231,1
2024-12-28,161,940.673623,37,124,,,,,0.22981366459627328,1
2024-12-29,201,2884.067927,64,137,,,,,0.31840796019900497,1
2024-12-30,304,9009.738137,120,184,,,,,0.39473684210526316,1
2024-12-31,306,5445.01281,92,214,,,,,0.3006535947712418,1
2025-01-01,96,-9528.065345,29,67,,,,,0.3020833333333333,0
2025-01-02,634,32300.205017,378,256,,,,,0.5962145110410094,1
2025-01-03,174,10596.108968,78,96,,,,,0.4482758620689655,1
2025-01-04,192,-2202.6622420000003,88,104,,,,,0.4583333333333333,0
2025-01-05,1230,54536.829297000004,530,700,,,,,0.43089430894308944,1
2025-01-13,408,9655.429352,158,250,,,,,0.3872549019607843,1
2025-01-14,275,16069.512355,137,138,,,,,0.49818181818181817,1
2025-01-15,267,14819.5883,123,144,,,,,0.4606741573033708,1
2025-01-16,371,20807.709328,127,244,,,,,0.3423180592991914,1
2025-01-17,238,7006.415608,126,112,,,,,0.5294117647058824,1
2025-01-18,651,443.2330819999997,248,403,,,,,0.38095238095238093,1
2025-01-19,1567,87923.799302,317,1250,,,,,0.20229738353541799,1
2025-01-20,1315,87277.239173,687,628,,,,,0.5224334600760456,1
2025-01-21,530,11077.839421,205,325,,,,,0.3867924528301887,1
2025-01-22,832,20524.408057,234,598,,,,,0.28125,1
2025-01-23,1218,101256.24216,805,413,,,,,0.6609195402298851,1
2025-01-24,874,10602.779738,488,386,,,,,0.5583524027459954,1
2025-01-25,506,-10348.016255999999,141,365,,,,,0.27865612648221344,0
2025-01-26,451,40823.466668,196,255,,,,,0.43458980044345896,1
2025-01-27,773,41331.765392,368,405,,,,,0.4760672703751617,1
2025-01-28,498,17979.613973,313,185,,,,,0.6285140562248996,1
2025-01-29,910,23421.01147,379,531,,,,,0.4164835164835165,1
2025-01-30,1067,23097.471385,370,697,,,,,0.3467666354264292,1
2025-01-31,1016,35868.296773,550,466,,,,,0.5413385826771654,1
2025-02-01,361,8716.519087,165,196,,,,,0.45706371191135736,1
2025-02-02,1319,162854.759623,473,846,,,,,0.35860500379075055,1
2025-02-03,532,66914.320708,267,265,,,,,0.5018796992481203,1
2025-02-04,1076,202212.740938,963,113,,,,,0.8949814126394052,1
2025-02-13,1370,27829.534238,641,729,,,,,0.4678832116788321,1
2025-02-14,1655,213860.675308,710,945,,,,,0.42900302114803623,1
2025-02-15,932,45042.92701,401,531,,,,,0.4302575107296137,1
2025-02-16,681,2369.478425,300,381,,,,,0.44052863436123346,1
2025-02-17,941,1818.573295,211,730,,,,,0.22422954303931988,1
2025-02-18,1676,91204.672403,858,818,,,,,0.5119331742243437,1
2025-02-19,1361,14985.794701,582,779,,,,,0.4276267450404115,1
2025-02-20,2012,46008.794102,964,1048,,,,,0.47912524850894633,1
2025-02-21,1873,119693.49395,978,895,,,,,0.5221569674319274,1
2025-02-22,686,25278.704178,341,345,,,,,0.4970845481049563,1
2025-02-23,520,10656.934251,234,286,,,,,0.45,1
2025-02-24,5616,38470.176242,2228,3388,,,,,0.39672364672364674,1
2025-02-25,6246,204762.177034,1628,4618,,,,,0.260646813960935,1
2025-02-26,1176,63229.063129,789,387,,,,,0.6709183673469388,1
2025-02-27,890,-36525.167517,247,643,,,,,0.27752808988764044,0
2025-02-28,1019,225628.108748,396,623,,,,,0.3886162904808636,1
2025-03-01,508,6028.486793,138,370,,,,,0.27165354330708663,1
2025-03-02,2380,348871.326269,1103,1277,,,,,0.4634453781512605,1
2025-03-03,1482,616413.032233,912,570,,,,,0.6153846153846154,1
2025-03-04,1748,-2365.961276,520,1228,,,,,0.2974828375286041,0
2025-03-13,962,14114.870873,440,522,,,,,0.4573804573804574,1
2025-03-14,2210,68646.160089,1887,323,,,,,0.8538461538461538,1
2025-03-15,261,78694.624572,155,106,,,,,0.5938697318007663,1
2025-03-16,530,-7910.943544999999,123,407,,,,,0.2320754716981132,0
2025-03-17,920,26163.906513,417,503,,,,,0.4532608695652174,1
2025-03-18,834,72322.788824,188,646,,,,,0.22541966426858512,1
2025-03-19,1612,29374.682341,671,941,,,,,0.4162531017369727,1
2025-03-20,771,10246.859436,315,456,,,,,0.4085603112840467,1
2025-03-21,698,6951.270374,349,349,,,,,0.5,1
2025-03-22,535,12498.535254,254,281,,,,,0.4747663551401869,1
2025-03-23,447,14047.421585,146,301,,,,,0.32662192393736017,1
2025-03-24,1027,107878.961301,632,395,,,,,0.6153846153846154,1
2025-03-25,791,32030.90678,286,505,,,,,0.3615676359039191,1
2025-03-26,3102,15802.167427,841,2261,,,,,0.27111540941328177,1
2025-03-27,785,58825.359221,262,523,,,,,0.33375796178343947,1
2025-03-28,728,21337.179335,231,497,,,,,0.3173076923076923,1
2025-03-29,1894,12098.872931,674,1220,,,,,0.3558606124604013,1
2025-03-30,568,15795.11514,94,474,,,,,0.16549295774647887,1
2025-03-31,495,6978.184557,259,236,,,,,0.5232323232323233,1
2025-04-01,371,2553.537968,75,296,,,,,0.20215633423180593,1
2025-04-02,2512,416876.88812,695,1817,,,,,0.276671974522293,1
2025-04-03,2402,182075.566585,609,1793,,,,,0.25353871773522063,1
2025-04-04,1272,-25515.678949999998,493,779,,,,,0.38757861635220126,0
2025-04-13,1321,48696.021521,478,843,,,,,0.3618470855412566,1
2025-04-14,890,45680.443063,376,514,,,,,0.42247191011235957,1
2025-04-15,1131,72357.706282,647,484,,,,,0.5720601237842617,1
2025-04-16,1608,58631.730257,547,1061,,,,,0.3401741293532338,1
2025-04-17,1031,5427.919886,313,718,,,,,0.30358874878758485,1
2025-04-18,1894,4880.4047439999995,971,923,,,,,0.5126715945089757,1
2025-04-19,2786,71950.577495,814,1972,,,,,0.2921751615218952,1
2025-04-20,1982,25060.341936,790,1192,,,,,0.3985872855701312,1
2025-04-21,1718,34369.267906999994,677,1041,,,,,0.3940628637951106,1
2025-04-22,2998,58652.763578,888,2110,,,,,0.2961974649766511,1
2025-04-23,6159,-419020.225731,2000,4159,,,,,0.324728040266277,0
2025-04-24,2232,50704.395965,923,1309,,,,,0.4135304659498208,1
2025-04-25,1653,20218.859206,638,1015,,,,,0.38596491228070173,1
2025-04-26,1131,-4125.753942,195,936,,,,,0.1724137931034483,0
2025-04-27,337,2702.067468,120,217,,,,,0.3560830860534125,1
2025-04-28,1379,36906.813759,575,804,,,,,0.4169688179840464,1
2025-04-29,2243,125749.613427,969,1274,,,,,0.43201069995541685,1
2025-04-30,1113,14003.797269,295,818,,,,,0.26504941599281223,1
2025-05-01,239,3187.719363,100,139,,,,,0.41841004184100417,1
2025-05-02,1297,56706.235562,417,880,,,,,0.3215111796453354,1
2025-05-03,1660,269328.365917,1259,401,,,,,0.7584337349397591,1
2025-05-04,360,35907.33771,209,151,,,,,0.5805555555555556,1
2025-06-01,573,6064.185393,89,484,,,,,0.15532286212914484,1
2025-06-02,1703,33803.799733,785,918,,,,,0.46095126247798,1
2025-06-03,760,16101.125561,365,395,,,,,0.48026315789473684,1
2025-06-04,1048,47053.449272,332,716,,,,,0.31679389312977096,1
2025-07-01,637,16098.227531,485,152,,,,,0.7613814756671899,1
2025-07-02,1524,22450.002091,430,1094,,,,,0.2821522309711286,1
2025-07-03,2552,150236.061627,1333,1219,,,,,0.5223354231974922,1
2025-07-04,2814,34527.370305,673,2141,,,,,0.23916133617626156,1
2025-08-01,1039,130117.090554,386,653,,,,,0.37151106833493747,1
2025-08-02,575,586.703253,110,465,,,,,0.19130434782608696,1
2025-08-03,529,24700.773359,301,228,,,,,0.5689981096408318,1
2025-08-04,943,34899.394798,386,557,,,,,0.4093319194061506,1
2025-09-01,522,46975.928902,145,377,,,,,0.2777777777777778,1
2025-09-02,764,150551.829492,329,435,,,,,0.4306282722513089,1
2025-09-03,1422,19773.457395,627,795,,,,,0.4409282700421941,1
2025-09-04,3967,43120.444797,1708,2259,,,,,0.43055205444920597,1
2025-10-01,819,-10116.875552,432,387,,,,,0.5274725274725275,0
2025-10-02,889,63908.49465,425,464,,,,,0.4780652418447694,1
2025-10-03,2911,-10010.027269999999,1157,1754,,,,,0.39745791824115423,0
2025-10-04,2127,158261.822261,1125,1002,,,,,0.5289139633286318,1
2025-11-01,283,2269.080536,69,214,,,,,0.24381625441696114,1
2025-11-02,848,-6093.784817,185,663,,,,,0.21816037735849056,0
2025-11-03,3286,-76880.729036,616,2670,,,,,0.18746195982958003,0
2025-11-04,1096,126406.479081,368,728,,,,,0.3357664233576642,1
2025-12-01,602,5742.241803,472,130,,,,,0.7840531561461794,1
2025-12-02,1031,19848.635032,477,554,,,,,0.4626576139670223,1
2025-12-03,3968,288105.984215,2240,1728,,,,,0.5645161290322581,1
2025-12-04,2109,410419.694533,574,1535,,,,,0.2721669037458511,1
